Artikel Nummer,Omschrijving,Stock,Ligging,Datum,Groep,Set,Bijlage,Opmerkingen
6511_165099 AIRBAG OFF,Airbag off mat,"1,00",SGA 10,,,,,
A0005810000,Wieldop,"1,00",SG 51,11/03/2024,,,,
A6209900370,T-STUK,"1,00",ZOEKEN,11/03/2024,,,,CONTROLEREN    SG42
A654589034000,Perstool,"1,00",KAST 50 LADE 4,22/09/2023,,,,
ADBLUE UITZUIG,Adblue uitzuig apparaat,"1,00",SGB 23,,,,,
B66408109,CLE DE REMLACEM.MASTESET,"1,00",SGA 52,,,,,
B66475331,JEU DE CLES MASTER,"1,00",SGA 52,,,,,
GLOEIBOUGIE UITBOORSET,GLOEIBOUGIE UITBOORSET,"1,00",SGB 23,,,,,
HANDREMPISTON DUWER,Handrempiston terug duwer Laser 3835,"1,00",SGB 23,,,,,
HSD0000000123,ADAPTER,"1,00",SGA 24,,,,,
KOMPRESSIEMETER D/B,6236031101 diesel en benzine,"1,00",SGB 24,,,,,
KOMPRESSIETESTER OUDE,kompressietester oude diesels,"1,00",SGB 24,,,,,
P403288024,,,LIGGING,13/03/2024,,,,CONTROLEREN
PRISE-AS,PRISE-AS,"1,00",KAST 120 LADE 1,8/04/2024,,,,
Remleiding plooier ATM-1009,Licota remleidingen plooier,"1,00",Boven B63,29/03/2022,,,,GEEN FOTO VAN
RIEMSPANNINGSMETER,Riem spanning meter,"1,00",SGA 20,,,,,
SPANBAND,SPANBAND,2,KAST 80 LADE 2,13/03/2024,,,,CONTROLEREN VOOR NUMMER
TEXA SPOELSET AIRCO,TEXA SPOELSET AIRCO,"1,00",KAST 70 SCHAP 1,3/02/2026,,,,
VERSTUIVER UITBOOR SET,verstuiver uitboor set 6038400,"1,00",SGB 24,,,,,
W000586006300,XENTRY KEYSTATION,"1,00",Receptie,,,,,
W000588006200,LASTREGELEAAR HV,"1,0",BOVEN D23,16/09/2025,,,000588006200.png,
W000588009900,GEREEDSCHAPSET,"1,00",KAST 50 LADE 2,22/09/2023,,,,geen foto
W000588071900,MEETINSTRUMENT,"1,00",KAST 20 LADE 4,1/03/2024,,,,geen foto
W000588081900,TESTBOX,"1,00",KAST 60 SCHAP 3,22/09/2023,,,,geen foto
W000588091900,Ultrasoonsensor,"1,00",SGB 42,,,,000588091900.png,
W000588119924,ADAPTERKABEL MCON 0.5 adapter line,"1,00",KAST 110 LADE 1,16/09/2025,,,000588119924.png,
W000588119925,"ADAPTERPENNEN MCON 1,2","1,00",KAST 110 LADE 2,18/07/2025,,,000588119925.png,
W000588119926,ADAPTERKABEL,"1,00",KAST 110 LADE 1,16/09/2025,,,000588119926.png,
W000588136200,Major assembly mount,"1,00",BOVEN C43,6/05/2025,,,000588136200.png,
W000588146200,ADAPTER,"1,00",BOVEN C35,6/05/2025,,,000588146200.png,
W000588163100,ADAPTER,"1,00",BOVEN C43,6/05/2025,,,000588163100.png,
W000588186300,ADAPTER,"1,00",KAST 110 LADE 2,17/02/2025,,,000588186300 (1).png,In combination with W 000 588 08 19 00 Test box. KAST 60 SCHAP 3
W000588193100,Load-carrying device,"1,00",BOVEN,6/05/2025,,,000588193100.png,"In combination with W   000   588   20   31   00 sling gear and portal crane or fork lift. In combination with W   000   588   25   31   00 Crane vehicle (provided that no fork lift, portal crane or similar is available)"
W000588203100,OGEN,"1,00",BOVEN C42,6/05/2025,,,000588203100.png,
W000588212400,DRUKTESTER,1,Boven B35,6/06/2023,,,,
W000589002100,TESTBOX,"1,00",KAST 60 SCHAP 2,20/09/2024,"00, 01, 07, 08, 54, 91",B,000589002100.png,
W000589003200,PLATEN,"0,00",Magazijn naast j bureau,,,,000589003200.png,
W000589012100,KALIBRATIE-INRICHTING,"1,00",BOVEN C33,6/05/2025,,,000589012100.png,
W000589016800,Reinigingshouder,"2,00",KAST 10 LADE 1,19/10/2023,,,,Samen met W 000 589 01 68 00
W000589016801,Reinigingsdoek,"1,00",KAST 10 LADE 1,19/10/2023,,,,Samen met W 000 589 01 68 00
W000589022100,KALIBRATIE-INRICHTING,1,BOVEN C11,6/05/2025,,,000589022100.png,
W000589031000,SCHROEVENDRAAIERDOP,"1,00",KAST 30 LADE 2 BAK 11,22/09/2023,,,000589031000.png,
W000589032200,CONTROLEKAART,"0,00",Johnny Bureau,,,,000589032200.png,
W000589041000,SCHROEVENDRAAIERDOP,"1,00",WERKPLAATS,,,,000589041000.png,
